Date,Open,High,Low,Close,Adj Close,Volume
2021-04-19,6275.0,6280.0,6230.0,6270.0,5847.34130859375,47095000.0
2021-04-20,6200.0,6250.0,6185.0,6235.0,5814.70068359375,72721000.0
2021-04-21,6200.0,6225.0,6165.0,6165.0,5749.41943359375,68397000.0
2021-04-22,6200.0,6275.0,6180.0,6215.0,5796.048828125,63758000.0
2021-04-23,6280.0,6395.0,6225.0,6390.0,5959.25244140625,108498500.0
2021-04-26,6395.0,6400.0,6280.0,6285.0,5861.330078125,108742000.0
2021-04-27,6370.0,6435.0,6355.0,6405.0,5973.24072265625,132650000.0
2021-04-28,6400.0,6405.0,6315.0,6320.0,5893.970703125,87660000.0
2021-04-29,6460.0,6460.0,6360.0,6410.0,5977.90380859375,57355000.0
2021-04-30,6450.0,6450.0,6380.0,6405.0,5973.24072265625,65829500.0
2021-05-03,6480.0,6480.0,6345.0,6390.0,5959.25244140625,42065500.0
2021-05-04,6350.0,6430.0,6340.0,6400.0,5968.57763671875,50123500.0
2021-05-05,6420.0,6430.0,6400.0,6425.0,5991.892578125,51685000.0
2021-05-06,6400.0,6450.0,6400.0,6425.0,5991.892578125,38115500.0
2021-05-07,6460.0,6460.0,6385.0,6400.0,5968.57763671875,48864000.0
2021-05-10,6400.0,6420.0,6395.0,6420.0,5987.2294921875,68180500.0
2021-05-11,6400.0,6480.0,6305.0,6480.0,6043.18505859375,70680000.0
2021-05-17,6500.0,6500.0,6375.0,6500.0,6061.8369140625,129058500.0
2021-05-18,6400.0,6455.0,6365.0,6390.0,5959.25244140625,73563000.0
2021-05-19,6380.0,6400.0,6335.0,6345.0,5917.2861328125,64912500.0
2021-05-20,6390.0,6435.0,6350.0,6380.0,5949.92578125,64950000.0
2021-05-21,6450.0,6450.0,6260.0,6360.0,5931.2744140625,92620000.0
2021-05-24,6355.0,6380.0,6290.0,6325.0,5898.6337890625,59210000.0
2021-05-25,6300.0,6440.0,6300.0,6355.0,5926.611328125,87470000.0
2021-05-27,6440.0,6480.0,6270.0,6270.0,5847.34130859375,537971500.0
2021-05-28,6330.0,6370.0,6330.0,6340.0,5912.623046875,102108500.0
2021-05-31,6360.0,6390.0,6325.0,6375.0,5945.26318359375,101442000.0
2021-06-02,6500.0,6515.0,6420.0,6465.0,6029.1962890625,141732500.0
2021-06-03,6495.0,6600.0,6430.0,6600.0,6155.095703125,133810500.0
2021-06-04,6620.0,6620.0,6500.0,6580.0,6136.44384765625,62108500.0
2021-06-07,6560.0,6570.0,6430.0,6530.0,6089.814453125,62576000.0
2021-06-08,6575.0,6575.0,6430.0,6430.0,5996.55615234375,64348000.0
2021-06-09,6360.0,6535.0,6360.0,6530.0,6089.814453125,77198000.0
2021-06-10,6555.0,6620.0,6490.0,6620.0,6173.74755859375,73262500.0
2021-06-11,6570.0,6580.0,6460.0,6470.0,6033.85888671875,72780500.0
2021-06-14,6520.0,6520.0,6400.0,6410.0,5977.90380859375,61478500.0
2021-06-15,6445.0,6470.0,6405.0,6470.0,6033.85888671875,87799000.0
2021-06-16,6420.0,6435.0,6360.0,6385.0,5954.58935546875,48984000.0
2021-06-17,6390.0,6390.0,6275.0,6330.0,5903.296875,68448500.0
2021-06-18,6300.0,6345.0,6280.0,6325.0,5898.6337890625,118043000.0
2021-06-21,6300.0,6300.0,6210.0,6250.0,5828.68994140625,60823500.0
2021-06-22,6250.0,6390.0,6240.0,6340.0,5912.623046875,65824000.0
2021-06-23,6295.0,6340.0,6230.0,6230.0,5810.03759765625,52451000.0
2021-06-24,6310.0,6310.0,6200.0,6210.0,5791.3857421875,56010000.0
2021-06-25,6230.0,6260.0,6190.0,6190.0,5772.73388671875,68939500.0
2021-06-28,6100.0,6150.0,6055.0,6055.0,5646.83447265625,84420500.0
2021-06-29,6050.0,6090.0,6040.0,6045.0,5637.50830078125,53704000.0
2021-06-30,6000.0,6070.0,6000.0,6025.0,5618.8564453125,65795000.0
2021-07-01,6060.0,6075.0,6000.0,6025.0,5618.8564453125,58153000.0
2021-07-02,6070.0,6140.0,6040.0,6100.0,5688.80078125,67392500.0
2021-07-05,6100.0,6130.0,6070.0,6110.0,5698.12744140625,39710500.0
2021-07-06,6110.0,6110.0,6055.0,6055.0,5646.83447265625,34279500.0
2021-07-07,6180.0,6180.0,6030.0,6065.0,5656.16015625,35595000.0
2021-07-08,6000.0,6040.0,5980.0,6015.0,5609.53076171875,47297000.0
2021-07-09,6010.0,6020.0,5990.0,6020.0,5614.193359375,40707500.0
2021-07-12,6070.0,6180.0,6020.0,6170.0,5754.08251953125,65981500.0
2021-07-13,6170.0,6175.0,6015.0,6045.0,5637.50830078125,65946500.0
2021-07-14,6020.0,6030.0,5980.0,5990.0,5586.21630859375,59321000.0
2021-07-15,6000.0,6115.0,5995.0,6115.0,5702.78955078125,49724000.0
2021-07-16,6170.0,6170.0,6055.0,6110.0,5698.12744140625,47998500.0
2021-07-19,6110.0,6110.0,6005.0,6005.0,5600.205078125,47119000.0
2021-07-21,6050.0,6120.0,6010.0,6010.0,5604.8681640625,55009500.0
2021-07-22,6115.0,6155.0,6050.0,6155.0,5740.09375,60792000.0
2021-07-23,6180.0,6190.0,6025.0,6035.0,5628.1826171875,79938000.0
2021-07-26,6040.0,6060.0,6005.0,6005.0,5600.205078125,48171500.0
2021-07-27,6005.0,6060.0,6000.0,6005.0,5600.205078125,53107500.0
2021-07-28,6005.0,6010.0,5970.0,5980.0,5576.8896484375,74133000.0
2021-07-29,6055.0,6085.0,5980.0,6040.0,5632.84521484375,84605000.0
2021-07-30,6040.0,6100.0,5960.0,5970.0,5567.56396484375,105685000.0
2021-08-02,6060.0,6065.0,5905.0,5960.0,5558.23828125,119981500.0
2021-08-03,6025.0,6180.0,5985.0,6145.0,5730.767578125,110071500.0
2021-08-04,6145.0,6150.0,6060.0,6120.0,5707.453125,41112000.0
2021-08-05,6170.0,6310.0,6140.0,6300.0,5875.318359375,93768000.0
2021-08-06,6360.0,6360.0,6135.0,6160.0,5744.75634765625,67285000.0
2021-08-09,6135.0,6200.0,6105.0,6200.0,5782.06005859375,52858500.0
2021-08-10,6250.0,6300.0,6115.0,6300.0,5875.318359375,60446000.0
2021-08-12,6120.0,6320.0,6120.0,6300.0,5875.318359375,118325500.0
2021-08-13,6350.0,6435.0,6325.0,6410.0,5977.90380859375,86929000.0
2021-08-16,6420.0,6420.0,6305.0,6420.0,5987.2294921875,69282000.0
2021-08-18,6520.0,6760.0,6460.0,6600.0,6155.095703125,186354500.0
2021-08-19,6600.0,6600.0,6530.0,6600.0,6155.095703125,100926000.0
2021-08-20,6600.0,6600.0,6510.0,6600.0,6155.095703125,120163500.0
2021-08-23,6515.0,6590.0,6515.0,6590.0,6145.77001953125,68253000.0
2021-08-24,6570.0,6600.0,6500.0,6600.0,6155.095703125,59561500.0
2021-08-25,6600.0,6605.0,6585.0,6600.0,6155.095703125,80751500.0
2021-08-26,6560.0,6580.0,6470.0,6560.0,6117.79248046875,74337000.0
2021-08-27,6490.0,6530.0,6490.0,6510.0,6071.16357421875,71572500.0
2021-08-30,6530.0,6580.0,6520.0,6565.0,6122.45556640625,74564500.0
2021-08-31,6520.0,6570.0,6515.0,6550.0,6108.466796875,115373500.0
2021-09-01,6550.0,6600.0,6535.0,6565.0,6122.45556640625,67362500.0
2021-09-02,6525.0,6575.0,6455.0,6540.0,6099.14013671875,53257000.0
2021-09-03,6560.0,6600.0,6515.0,6600.0,6155.095703125,35764500.0
2021-09-06,6600.0,6605.0,6550.0,6575.0,6131.78076171875,36780000.0
2021-09-07,6595.0,6605.0,6570.0,6570.0,6127.11865234375,53902000.0
2021-09-08,6550.0,6595.0,6420.0,6440.0,6005.88134765625,77888000.0
2021-09-09,6410.0,6570.0,6410.0,6570.0,6127.11865234375,110074000.0
2021-09-10,6495.0,6565.0,6495.0,6520.0,6080.48876953125,41483500.0
2021-09-13,6560.0,6560.0,6525.0,6555.0,6113.13037109375,29929000.0
2021-09-14,6590.0,6595.0,6495.0,6545.0,6103.8037109375,51990500.0
2021-09-15,6545.0,6550.0,6485.0,6495.0,6057.173828125,44514000.0
2021-09-16,6580.0,6580.0,6480.0,6500.0,6061.8369140625,58672500.0
2021-09-17,6490.0,6535.0,6480.0,6520.0,6080.48876953125,117540000.0
2021-09-20,6570.0,6590.0,6510.0,6585.0,6141.1064453125,73157500.0
2021-09-21,6510.0,6535.0,6470.0,6490.0,6052.5107421875,57115500.0
2021-09-22,6500.0,6580.0,6500.0,6555.0,6113.13037109375,68722000.0
2021-09-23,6555.0,6590.0,6545.0,6580.0,6136.44384765625,60998500.0
2021-09-24,6500.0,6585.0,6500.0,6585.0,6141.1064453125,60539500.0
2021-09-27,6585.0,6595.0,6555.0,6580.0,6136.44384765625,55052500.0
2021-09-28,6540.0,6560.0,6500.0,6520.0,6080.48876953125,80186000.0
2021-09-29,6520.0,6580.0,6515.0,6580.0,6136.44384765625,74079000.0
2021-09-30,6600.0,7000.0,6595.0,7000.0,6528.13232421875,156848000.0
2021-10-01,6900.0,6900.0,6710.0,6760.0,6304.31005859375,103954500.0
2021-10-04,6740.0,6960.0,6740.0,6960.0,6490.8291015625,74719000.0
2021-10-05,6910.0,6945.0,6860.0,6945.0,6476.83984375,54986500.0
2021-10-06,6980.0,7180.0,6970.0,7180.0,6695.99853515625,174312000.0
2021-10-07,7175.0,7175.0,7080.0,7160.0,6677.3466796875,107263500.0
2021-10-08,7200.0,7300.0,7175.0,7290.0,6798.5830078125,94643500.0
2021-10-11,7240.0,7290.0,7230.0,7255.0,6765.94287109375,47201000.0
2021-10-12,7255.0,7320.0,7245.0,7320.0,6826.56103515625,91067000.0
2021-10-13,7400.0,8250.0,7400.0,7525.0,7017.74169921875,210893300.0
2021-10-14,7600.0,7900.0,7600.0,7750.0,7227.57470703125,138811900.0
2021-10-15,7800.0,7875.0,7450.0,7650.0,7134.3154296875,142378200.0
2021-10-18,7650.0,7675.0,7475.0,7525.0,7017.74169921875,116644300.0
2021-10-19,7475.0,7525.0,7350.0,7500.0,6994.42724609375,134601200.0
2021-10-21,7500.0,7550.0,7350.0,7400.0,6901.16845703125,106120100.0
2021-10-22,7450.0,7550.0,7425.0,7525.0,7017.74169921875,96730700.0
2021-10-25,7400.0,7525.0,7400.0,7525.0,7017.74169921875,60329800.0
2021-10-26,7600.0,7600.0,7500.0,7525.0,7017.74169921875,70103000.0
2021-10-27,7575.0,7575.0,7425.0,7450.0,6947.79833984375,57067000.0
2021-10-28,7350.0,7425.0,7350.0,7375.0,6877.853515625,75271900.0
2021-10-29,7450.0,7475.0,7375.0,7475.0,6971.11279296875,60639200.0
2021-11-01,7550.0,7550.0,7400.0,7400.0,6901.16845703125,38593400.0
2021-11-02,7375.0,7425.0,7250.0,7300.0,6807.9091796875,90535400.0
2021-11-03,7300.0,7400.0,7250.0,7350.0,6854.5390625,61621500.0
2021-11-04,7425.0,7475.0,7375.0,7375.0,6877.853515625,61081400.0
2021-11-05,7475.0,7475.0,7375.0,7450.0,6947.79833984375,43120400.0
2021-11-08,7500.0,7600.0,7450.0,7575.0,7064.37158203125,85441700.0
2021-11-09,7600.0,7675.0,7575.0,7675.0,7157.630859375,101785800.0
2021-11-10,7675.0,7675.0,7575.0,7650.0,7134.3154296875,47503900.0
2021-11-11,7700.0,7750.0,7600.0,7675.0,7157.630859375,55790000.0
2021-11-12,7750.0,7750.0,7525.0,7525.0,7017.74169921875,52590100.0
2021-11-15,7625.0,7625.0,7500.0,7500.0,6994.42724609375,67344200.0
2021-11-16,7400.0,7475.0,7325.0,7475.0,6971.11279296875,98616900.0
2021-11-17,7500.0,7575.0,7425.0,7575.0,7088.07763671875,61968100.0
2021-11-18,7425.0,7500.0,7400.0,7400.0,6924.326171875,78839600.0
